 Name, City, IATA, Latitude, Longitude
Jehonville Air Base,Bertrix,\N,49.89170074,5.223889828
Brussels South Charleroi Airport,Charleroi,CRL,50.459202,4.45382
Chièvres Air Base,Chievres,\N,50.57580185,3.83100009
Koksijde Air Base,Koksijde,\N,51.09030151,2.652780056
Florennes Air Base,Florennes,\N,50.24330139,4.645830154
Wevelgem Airport,Kortrijk-vevelgem,KJK,50.81719971,3.20472002
Liège Airport,Liege,LGG,50.63740158,5.443220139
Ostend-Bruges International Airport,Ostend,OST,51.19889832,2.862220049
Zutendaal Air Base,Zutendaal,\N,50.94749832,5.590559959
Brustem Airfield Sint Truiden,Sint-truiden,\N,50.791901,5.20167
Saint Hubert Air Base,St.-hubert,\N,50.03440094,5.440810204
Ursel Air Base,Ursel,\N,51.14419937,3.47555995
Weelde Air Base,Weelde,\N,51.39479828,4.960189819
Zoersel (Oostmalle) Airfield,Zoersel,OBL,51.264702,4.75333
Flugplatz Bautzen,Bautzen,\N,51.193611,14.519722
Altenburg-Nobitz Airport,Altenburg,AOC,50.981945,12.506389
Dessau Airfield,Dessau,\N,51.831694,12.190962
Eisenhüttenstadt Airfield,Eisenhuettenstadt,\N,52.195856,14.58753
Großenhain Airport,Suhl,\N,51.30805588,13.5555563
Merseburg Airport,Muehlhausen,\N,51.3630556,11.9408333
Halle-Oppin Airport,Halle,\N,51.552223,12.053889
Riesa-Göhlis Airport,Riesa,IES,51.29360962,13.35611057
Rechlin-Lärz Airport,Rechlin-laerz,REB,53.30638886,12.75222206
Strausberg Airport,Strausberg,\N,52.58055496,13.91666698
Schönhagen Airport,Schoenhagen,QXH,52.203609,13.156389
Barth Airport,Barth,BBH,54.338253,12.710515
Jena-Schöngleina Airfield,Jena,\N,50.915279,11.714444
Kyritz Airport,Kyritz,\N,52.91888809,12.42527771
"Magdeburg ""City"" Airport",Magdeburg,ZMG,52.073612,11.626389
Rothenburg/Görlitz Airport,Rothenburg/ol,\N,51.36333466,14.94999981
Anklam Airfield,Anklam,\N,53.832779,13.668611
Cottbus-Drewitz Airport,Cottbus,CBU,51.889442,14.531944
Kamenz Airport,Kamenz,\N,51.29694366,14.12749958
Berlin-Schönefeld Airport,Berlin,SXF,52.380001,13.5225
Dresden Airport,Dresden,DRS,51.13280106,13.76720047
Erfurt Airport,Erfurt,ERF,50.97980118,10.95810032
Frankfurt am Main Airport,Frankfurt,FRA,50.033333,8.570556
Münster Osnabrück Airport,Munster,FMO,52.13460159,7.684830189
Hamburg Airport,Hamburg,HAM,53.63040161,9.988229752
